Author,Year,Title,Journal,Keywords,JEL.Codes,Date.Created,Article.Link
Dennis P. Quinn and Hans-Joachim Voth,2008,A Century of Global Equity Market Correlations,American Economic Review ,,F32; G15; N20,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a2_3ap_3a535-40.htm
Gauti Eggertsson,2008,Great Expectations and the End of the Depression,American Economic Review ,,D84; E52; E62; N12; N42,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a4_3ap_3a1476-1516.htm
Jean-Marie Baland and James Robinson,2008,Land and Power: Theory and Evidence from Chile,American Economic Review ,,D72; N46; O13; O15; O17,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a5_3ap_3a1737-65.htm
David Card,2009,Immigration and Inequality,American Economic Review ,,D12; D14; D18; D91; E32; F24; I12; I18; I21; I38; J11; J13; J14; J16; J22; J24; J31; J61; L26; N31; N32; O13; O15; O19; O47; P28; Q25; Q28; Q51; Q53; Q54; R23,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a99_3ay_3a2009_3ai_3a2_3ap_3a1-21.htm
LuboÅ¡ PÃ¡stor and Pietro Veronesi,2009,Technological Revolutions and Stock Prices,American Economic Review ,,G12; L86; L92; N21; N22; N71; N72,2013-03-21,https://econpapers.repec.org/article/aeaaecrev/v_3a99_3ay_3a2009_3ai_3a4_3ap_3a1451-83.htm
Luca Benati and Paolo Surico,2009,VAR Analysis and the Great Moderation,American Economic Review ,,C32; C52; E13; E52; N12,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a99_3ay_3a2009_3ai_3a4_3ap_3a1636-52.htm
"Ran Abramitzky, Leah Boustan and Katherine Eriksson",2020,Do Immigrants Assimilate More Slowly Today Than in the Past?,American Economic Review: Insights ,,J15; N31; N32; Z13,2020-03-03,https://econpapers.repec.org/article/aeaaerins/v_3a2_3ay_3a2020_3ai_3a1_3ap_3a125-41.htm
Bruno Caprettini and Hans-Joachim Voth,2020,Rage against the Machines: Labor-Saving Technology and Unrest in Industrializing England,American Economic Review: Insights ,,J24; L16; N13; N33; N53; O33; Q16,2020-09-03,https://econpapers.repec.org/article/aeaaerins/v_3a2_3ay_3a2020_3ai_3a3_3ap_3a305-20.htm
Felipe Benguria and Alan Taylor,2020,After the Panic: Are Financial Crises Demand or Supply Shocks? Evidence from International Trade,American Economic Review: Insights ,,F14; F31; F41; G01; N10; N20; N70,2020-12-02,https://econpapers.repec.org/article/aeaaerins/v_3a2_3ay_3a2020_3ai_3a4_3ap_3a509-26.htm
"Andrei Shleifer, Florencio Lopez-de-Silanes and Rafael La Porta",2008,The Economic Consequences of Legal Origins,Journal of Economic Literature ,,K10; N40,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a46_3ay_3a2008_3ai_3a2_3ap_3a285-332.htm
"Anthony Atkinson, Thomas Piketty and Emmanuel Saez",2011,Top Incomes in the Long Run of History,Journal of Economic Literature ,,D31; D63; H26; N30,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a49_3ay_3a2011_3ai_3a1_3ap_3a3-71.htm
Alan Taylor,2012,Global Financial Stability and the Lessons of History: A Review of Carmen M. Reinhart and Kenneth S. Rogoff's This Time Is Different: Eight Centuries of Financial Folly,Journal of Economic Literature ,,F30; G01; G20; N20,2012-12-19,https://econpapers.repec.org/article/aeajeclit/v_3a50_3ay_3a2012_3ai_3a4_3ap_3a1092-1105.htm
Peter Rousseau,2016,The Politics of Financial Development: A Review of Calomiris and Haber's Fragile by Design,Journal of Economic Literature ,,D72; E44; G01; G21; N20; O16; O17,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a1_3ap_3a208-23.htm
Cormac Ó Gráda,2016,Did Science Cause the Industrial Revolution?,Journal of Economic Literature ,,J24; L26; N13; N73; O31; O33,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a1_3ap_3a224-39.htm
Margaret McMillan,2016,Understanding African Poverty over the Longue Durée: A Review of Africa's Development in Historical Perspective,Journal of Economic Literature ,,F54; I32; J11; N17; N37; N47; O10,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a3_3ap_3a893-905.htm
"Kyle Bagwell, Chad Bown and Robert Staiger",2016,Is the WTO Passé?,Journal of Economic Literature ,,F13; F14; K33; N70,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a4_3ap_3a1125-1231.htm
Marshall Steinbaum and Bernard A. Weisberger,2017,The Intellectual Legacy of Progressive Economics: A Review Essay of Thomas C. Leonard's Illiberal Reformers,Journal of Economic Literature ,,A11; B15; D82; J15; N31; N32,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a3_3ap_3a1064-83.htm
Ran Abramitzky and Leah Boustan,2017,Immigration in American Economic History,Journal of Economic Literature ,,J11; J15; J24; J61; N31; N32,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a4_3ap_3a1311-45.htm
Price Fishback,2017,How Successful Was the New Deal? The Microeconomic Impact of New Deal Spending and Lending Policies in the 1930s,Journal of Economic Literature ,,E32; E62; G21; H50; H81; N12; N42,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a4_3ap_3a1435-85.htm
Yongseok Shin,2018,Finance and Economic Development in the Very Long Run: A Review Essay,Journal of Economic Literature ,,E42; E44; G00; N20,2018-12-14,https://econpapers.repec.org/article/aeajeclit/v_3a56_3ay_3a2018_3ai_3a4_3ap_3a1577-86.htm
Enrico Spolaore,2020,Commanding Nature by Obeying Her: A Review Essay on Joel Mokyr's A Culture of Growth,Journal of Economic Literature ,,N00; N13; N33; O30; O52; Z10,2020-09-10,https://econpapers.repec.org/article/aeajeclit/v_3a58_3ay_3a2020_3ai_3a3_3ap_3a777-92.htm
"Martha Bailey, Connor Cole, Morgan Henderson and Catherine Massey",2020,How Well Do Automated Linking Methods Perform? Lessons from US Historical Data,Journal of Economic Literature ,,C45; C81; J62; N31; N32,2020-12-12,https://econpapers.repec.org/article/aeajeclit/v_3a58_3ay_3a2020_3ai_3a4_3ap_3a997-1044.htm
Joshua Hausman,2021,Planning on the Potomac: A Review Essay on Jason E. Taylor's Deconstructing the Monolith: The Microeconomics of the National Industrial Recovery Act,Journal of Economic Literature ,,D72; G01; H50; N32; N42,2021-04-07,https://econpapers.repec.org/article/aeajeclit/v_3a59_3ay_3a2021_3ai_3a1_3ap_3a244-64.htm
Timothy Guinnane,2021,The Human Tide: A Review Essay,Journal of Economic Literature ,,I12; J11; J13; J15; K37; N30,2021-12-10,https://econpapers.repec.org/article/aeajeclit/v_3a59_3ay_3a2021_3ai_3a4_3ap_3a1322-39.htm
"Brian Beach, Karen Clay and Martin Saavedra",2022,The 1918 Influenza Pandemic and Its Lessons for COVID-19,Journal of Economic Literature ,,E24; E32; I12; I15; J13; J24; N30,2022-03-08,https://econpapers.repec.org/article/aeajeclit/v_3a60_3ay_3a2022_3ai_3a1_3ap_3a41-84.htm
Gilles Saint-Paul,2022,Book Review: Entrenchment by Paul Starr,Journal of Economic Literature ,,D02; D31; D72; N40,2022-09-03,https://econpapers.repec.org/article/aeajeclit/v_3a60_3ay_3a2022_3ai_3a3_3ap_3a1014-28.htm
Konstantin Sonin,2022,The Historical Perspective on the Donald Trump Puzzle: A Review of Barry Eichengreen's The Populist Temptation: Economic Grievance and Political Reaction in the Modern Era,Journal of Economic Literature ,,D72; D73; N40,2022-09-03,https://econpapers.repec.org/article/aeajeclit/v_3a60_3ay_3a2022_3ai_3a3_3ap_3a1029-38.htm
Lucrezia Reichlin,2023,A Fed for Our Times: A Review Essay on 21st Century Monetary Policy by Ben Bernanke,Journal of Economic Literature ,,E31; E32; E52; E58; E62; N12; N22,2023-12-09,https://econpapers.repec.org/article/aeajeclit/v_3a61_3ay_3a2023_3ai_3a4_3ap_3a1521-39.htm
Christina Romer,1993,The Nation in Depression,Journal of Economic Perspectives ,,A13; D63; E32; N12,2012-12-18,https://econpapers.repec.org/article/aeajecper/v_3a7_3ay_3a1993_3ai_3a2_3ap_3a19-39.htm
Robert Margo,1993,Employment and Unemployment in the 1930s,Journal of Economic Perspectives ,,E24; E32; N12,2012-12-18,https://econpapers.repec.org/article/aeajecper/v_3a7_3ay_3a1993_3ai_3a2_3ap_3a41-59.htm
Claudia Goldin,1995,Cliometrics and the Nobel,Journal of Economic Perspectives ,,N01,2012-12-18,https://econpapers.repec.org/article/aeajecper/v_3a9_3ay_3a1995_3ai_3a2_3ap_3a191-208.htm
Charles Jones,1997,On the Evolution of the World Income Distribution,Journal of Economic Perspectives ,,D31; D72; E17; N10; N30,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a11_3ay_3a1997_3ai_3a3_3ap_3a19-36.htm
Susanto Basu and Alan Taylor,1999,Business Cycles in International Historical Perspective,Journal of Economic Perspectives ,,E32; F43; N10,2012-12-06,https://econpapers.repec.org/article/aeajecper/v_3a13_3ay_3a1999_3ai_3a2_3ap_3a45-68.htm
Nathan Nunn and Nancy Qian,2010,"The Columbian Exchange: A History of Disease, Food, and Ideas",Journal of Economic Perspectives ,,N33; N36; N43; N46; N53; N56,2012-12-13,https://econpapers.repec.org/article/aeajecper/v_3a24_3ay_3a2010_3ai_3a2_3ap_3a163-88.htm
Nico Voigtl?nder and Hans-Joachim Voth,2013,Gifts of Mars: Warfare and Europe's Early Rise to Riches,Journal of Economic Perspectives ,,D72; D74; N13; N43; O33; O47,2013-11-19,https://econpapers.repec.org/article/aeajecper/v_3a27_3ay_3a2013_3ai_3a4_3ap_3a165-86.htm
Wallace Oates and Robert M. Schwab,2015,The Window Tax: A Case Study in Excess Burden,Journal of Economic Perspectives ,,H22; H25; H32; H71; N43,2015-02-07,https://econpapers.repec.org/article/aeajecper/v_3a29_3ay_3a2015_3ai_3a1_3ap_3a163-80.htm
Roger Fouquet and Stephen Broadberry,2015,Seven Centuries of European Economic Growth and Decline,Journal of Economic Perspectives ,,E23; I31; N13; N14; N33; N34; O47,2016-04-03,https://econpapers.repec.org/article/aeajecper/v_3a29_3ay_3a2015_3ai_3a4_3ap_3a227-44.htm
Claudia Goldin and Joshua Mitchell,2017,"The New Life Cycle of Women's Employment: Disappearing Humps, Sagging Middles, Expanding Tops",Journal of Economic Perspectives ,,D91; J16; J22; N32,2018-06-15,https://econpapers.repec.org/article/aeajecper/v_3a31_3ay_3a2017_3ai_3a1_3ap_3a161-82.htm
Claudia Olivetti and Barbara Petrongolo,2017,The Economic Consequences of Family Policies: Lessons from a Century of Legislation in High-Income Countries,Journal of Economic Perspectives ,,J12; J13; J16; J18; K36; N30; N40,2018-06-15,https://econpapers.repec.org/article/aeajecper/v_3a31_3ay_3a2017_3ai_3a1_3ap_3a205-30.htm
Hugh Rockoff,2019,On the Controversies behind the Origins of the Federal Economic Statistics,Journal of Economic Perspectives ,,C80; E01; N11; N12; N41; N42,2019-02-05,https://econpapers.repec.org/article/aeajecper/v_3a33_3ay_3a2019_3ai_3a1_3ap_3a147-64.htm
"Jeremy Atack, Robert Margo and Paul Rhode",2019,"""Automation"" of Manufacturing in the Late Nineteenth Century: The Hand and Machine Labor Study",Journal of Economic Perspectives ,,D24; J23; J24; L23; M11; N31; N61,2019-05-04,https://econpapers.repec.org/article/aeajecper/v_3a33_3ay_3a2019_3ai_3a2_3ap_3a51-70.htm
Price Fishback and Andrew J. Seltzer,2021,"The Rise of American Minimum Wages, 1912–1968",Journal of Economic Perspectives ,,J31; J38; J83; K31; N31; N32,2021-02-05,https://econpapers.repec.org/article/aeajecper/v_3a35_3ay_3a2021_3ai_3a1_3ap_3a73-96.htm
W. Bentley Macleod and Miguel Urquiola,2021,"Why Does the United States Have the Best Research Universities? Incentives, Resources, and Virtuous Circles",Journal of Economic Perspectives ,,I23; N31; N32,2021-02-05,https://econpapers.repec.org/article/aeajecper/v_3a35_3ay_3a2021_3ai_3a1_3ap_3a185-206.htm
Gavin Wright,2022,Slavery and the Rise of the Nineteenth-Century American Economy,Journal of Economic Perspectives ,,J15; N11; N31; N41; N51; N91,2022-05-11,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a2_3ap_3a123-48.htm
Sharat Ganapati and Woan Foong Wong,2023,How Far Goods Travel: Global Transport and Supply Chains from 1965–2020,Journal of Economic Perspectives ,,F14; L14; L22; L91; N60; N70; R41,2023-08-04,https://econpapers.repec.org/article/aeajecper/v_3a37_3ay_3a2023_3ai_3a3_3ap_3a3-30.htm
Charles H. Anderton and Jurgen Brauer,2021,Mass Atrocities and Their Prevention,Journal of Economic Literature ,,D72; D74; K38; N40; Z13,2021-12-10,https://econpapers.repec.org/article/aeajeclit/v_3a59_3ay_3a2021_3ai_3a4_3ap_3a1240-92.htm
Mariko Klasing and Petros Milionis,2014,"Quantifying the evolution of world trade, 1870–1949",Journal of International Economics ,International trade; Purchasing power differences; Short-cut method;,F01; F15; N10; N70,2014-02-06,https://econpapers.repec.org/article/eeeinecon/v_3a92_3ay_3a2014_3ai_3a1_3ap_3a185-197.htm
Kris James Mitchener and Kirsten Wandschneider,2015,Capital controls and recovery from the financial crisis of the 1930s,Journal of International Economics ,Capital controls; Financial crises; Great Depression; Interwar gold standard;,E44; E61; F32; F33; F41; G15; N1; N2,2015-03-04,https://econpapers.repec.org/article/eeeinecon/v_3a95_3ay_3a2015_3ai_3a2_3ap_3a188-201.htm
Dan Liu and Christopher Meissner,2015,Market potential and the rise of US productivity leadership,Journal of International Economics ,Market potential; Border effect; Gravity; Gains from trade; Convergence;,F15; F43; N1; N70,2015-05-22,https://econpapers.repec.org/article/eeeinecon/v_3a96_3ay_3a2015_3ai_3a1_3ap_3a72-87.htm
"Oscar Jorda, Moritz Schularick and Alan Taylor",2015,Betting the house,Journal of International Economics ,Financial crises; Monetary policy; Leverage; Credit; House prices; Local projections;,C14; C38; E32; E37; E42; E44; E51; E52; F41; G01; G21; N10; N20,2015-06-19,https://econpapers.repec.org/article/eeeinecon/v_3a96_3ay_3a2015_3ai_3as1_3ap_3as2-s18.htm
"Rabah Arezki, Thiemo Fetzer and Frank Pisch",2017,On the comparative advantage of U.S. manufacturing: Evidence from the shale gas revolution,Journal of International Economics ,Manufacturing; Exports; Energy prices; Shale gas;,L71; N52; O13; Q33; R11,2017-06-21,https://econpapers.repec.org/article/eeeinecon/v_3a107_3ay_3a2017_3ai_3ac_3ap_3a34-59.htm
Luis Catão and Rui Mano,2017,Default premium,Journal of International Economics ,Sovereign debt; Country risk; Interest rate spread; Haircut; Emerging markets;,F34; G15; H63; N20,2017-06-21,https://econpapers.repec.org/article/eeeinecon/v_3a107_3ay_3a2017_3ai_3ac_3ap_3a91-110.htm
Eric Monnet and Damien Puy,2020,Do old habits die hard? Central banks and the Bretton Woods gold puzzle,Journal of International Economics ,Central banking; Foreign reserves; Culture & beliefs; Bretton Woods; Gold; International monetary system;,D83; F33; M14; N10,2020-11-18,https://econpapers.repec.org/article/eeeinecon/v_3a127_3ay_3a2020_3ai_3ac_3as0022199620301094.htm
"Ran Abramitzky, Leah Boustan and Katherine Eriksson",2013,Have the poor always been less likely to migrate? Evidence from inheritance practices during the age of mass migration,Journal of Development Economics ,Migration; Selection; Wealth; Childhood environment; 19th century;,N33; O15; R23,2013-06-09,https://econpapers.repec.org/article/eeedeveco/v_3a102_3ay_3a2013_3ai_3ac_3ap_3a2-14.htm
Davide Cantoni and Noam Yuchtman,2013,The political economy of educational content and development: Lessons from history,Journal of Development Economics ,Educational content; Educational institutions; Political economy; Development;,I25; N30; O11; O43,2014-02-05,https://econpapers.repec.org/article/eeedeveco/v_3a104_3ay_3a2013_3ai_3ac_3ap_3a233-244.htm
Erkan Gören,2017,The persistent effects of novelty-seeking traits on comparative economic development,Journal of Development Economics ,Novelty-seeking behavior; Entrepreneurial traits; Economic development; Natural selection; Biogeography; DRD4;,N50; O10; O50; Z10,2017-04-12,https://econpapers.repec.org/article/eeedeveco/v_3a126_3ay_3a2017_3ai_3ac_3ap_3a112-126.htm
"Facundo Alvaredo, Augustin Bergeron and Guilhem Cassan",2017,"Income concentration in British India, 1885–1946",Journal of Development Economics ,Inequality; India; Colonization; Top incomes;,D31; N35; O10,2017-06-21,https://econpapers.repec.org/article/eeedeveco/v_3a127_3ay_3a2017_3ai_3ac_3ap_3a459-469.htm
Arthur Silve and Thierry Verdier,2018,A theory of regional conflict complexes,Journal of Development Economics ,Civil war; Contagion; Porous frontier; Institutions; Military intervention; Institutional cooperation;,D74; N40; P48,2018-06-21,https://econpapers.repec.org/article/eeedeveco/v_3a133_3ay_3a2018_3ai_3ac_3ap_3a434-447.htm
Daniele Girardi and Samuel Bowles,2018,"Institution shocks and economic outcomes: Allende's election, Pinochet's coup and the Santiago stock market",Journal of Development Economics ,Institutional shocks; Natural experiment; Share prices; Chile; Socialism; Military coup; Elections;,D02; E02; N2; P00; P16,2018-09-19,https://econpapers.repec.org/article/eeedeveco/v_3a134_3ay_3a2018_3ai_3ac_3ap_3a16-27.htm
Jevan Cherniwchan and Juan Moreno-Cruz,2019,Maize and precolonial Africa,Journal of Development Economics ,Africa; Columbian exchange; Maize; Slave trades;,N57; O13; Q1,2019-01-05,https://econpapers.repec.org/article/eeedeveco/v_3a136_3ay_3a2019_3ai_3ac_3ap_3a137-150.htm
Joshua Lewis and Edson Severnini,2020,Short- and long-run impacts of rural electrification: Evidence from the historical rollout of the U.S. power grid,Journal of Development Economics ,,N92; O13; O18; Q40,2020-03-26,https://econpapers.repec.org/article/eeedeveco/v_3a143_3ay_3a2020_3ai_3ac_3as0304387819304547.htm
"Karen Clay, Peter Juul Egedesø, Casper Hansen, Peter Jensen and Avery Calkins",2020,Controlling tuberculosis? Evidence from the first community-wide health experiment,Journal of Development Economics ,Public health; Health demonstration; Tuberculosis mortality; Infant mortality;,I15; I18; N32,2020-09-03,https://econpapers.repec.org/article/eeedeveco/v_3a146_3ay_3a2020_3ai_3ac_3as0304387820300857.htm
Paolo Verme and Kirsten Schuettler,2021,The impact of forced displacement on host communities: A review of the empirical literature in economics,Journal of Development Economics ,Refugees; Returnees; Expellees; Escapees; Internally displaced persons (IDPs); Forced migration; Forced displacement; Host communities; Labor markets; Wages; Prices; Employment; Unemployment; Well-being;,D12; E24; F22; F66; J08; J1; J2; J3; J4; J7; J8; N3; O15; P46; R2,2021-03-23,https://econpapers.repec.org/article/eeedeveco/v_3a150_3ay_3a2021_3ai_3ac_3as0304387820301814.htm
Gabriele Cappelli and Joerg Baten,2021,Numeracy development in Africa: New evidence from a long-term perspective (1730–1970),Journal of Development Economics ,Human capital; Africa; Colonial education systems; Numeracy; History;,N37; O15,2021-03-23,https://econpapers.repec.org/article/eeedeveco/v_3a150_3ay_3a2021_3ai_3ac_3as0304387821000079.htm
Gaia Narciso and Battista Severgnini,2023,The deep roots of rebellion,Journal of Development Economics ,Conflict; Famine; Irish revolution;,F51; N44; N53; Z10,2022-12-11,https://econpapers.repec.org/article/eeedeveco/v_3a160_3ay_3a2023_3ai_3ac_3as0304387822000980.htm
Per Fredriksson and Satyendra Kumar Gupta,2023,Irrigation and gender roles,Journal of Development Economics ,Irrigation; Agriculture; Gender; Norms; Labor force participation;,J16; J21; N50; O10; Q15; Z13,2023-06-07,https://econpapers.repec.org/article/eeedeveco/v_3a163_3ay_3a2023_3ai_3ac_3as0304387823000317.htm
"Vincent Geloso, Vadim Kufenko and Alex P. Arsenault-Morin",2023,The lesser shades of labor coercion: The impact of seigneurial tenure in nineteenth-century Quebec,Journal of Development Economics ,Labor coercion; Economic development; Canadian economic history;,J42; N11; R52,2023-06-07,https://econpapers.repec.org/article/eeedeveco/v_3a163_3ay_3a2023_3ai_3ac_3as0304387823000469.htm
"Alena Bochenkova, Paolo Buonanno and Sergio Galletta",2023,Fighting violence against women: The role of female political representation,Journal of Development Economics ,Female politicians; Gender; Femicide; Violence; Brazil; RDD;,D72; J16; K42; N36,2023-10-07,https://econpapers.repec.org/article/eeedeveco/v_3a164_3ay_3a2023_3ai_3ac_3as0304387823000950.htm
"Sanjaya Acharya, Jens Hölscher and Cristiano Perugini",2012,Trade liberalisation and inequalities in Nepal: A CGE analysis,Economic Modelling ,Trade liberalisation; Inequality; CGE model; Nepal;,D33; D58; F15; N75,2012-11-08,https://econpapers.repec.org/article/eeeecmode/v_3a29_3ay_3a2012_3ai_3a6_3ap_3a2543-2557.htm
Helmi Hamdi and Rashid Sbia,2013,"Dynamic relationships between oil revenues, government spending and economic growth in an oil-dependent economy",Economic Modelling ,Oil revenues; Government expenditures; Growth; Bahrain; ECM;,E62; H50; H54; N15,2013-12-04,https://econpapers.repec.org/article/eeeecmode/v_3a35_3ay_3a2013_3ai_3ac_3ap_3a118-125.htm
"Stylianos G. Gogos, Nikolaos Mylonidis, Dimitris Papageorgiou and Vanghelis Vassilatos",2014,1979–2001: A Greek great depression through the lens of neoclassical growth theory,Economic Modelling ,Depression; Greece; Growth accounting; Total factor productivity; Dynamic general equilibrium;,E32; N10; O40,2014-01-10,https://econpapers.repec.org/article/eeeecmode/v_3a36_3ay_3a2014_3ai_3ac_3ap_3a316-331.htm
Teerawat Charoenrat and Charles Harvie,2014,The efficiency of SMEs in Thai manufacturing: A stochastic frontier analysis,Economic Modelling ,Technical efficiency; Stochastic frontier production function; Technical inefficiency effects model; Small and medium sized enterprises; Manufacturing;,C21; N6; R3,2014-10-24,https://econpapers.repec.org/article/eeeecmode/v_3a43_3ay_3a2014_3ai_3ac_3ap_3a372-393.htm
Alfredo Garcia-Hiernaux and David E. Guerrero,2021,Price convergence: Representation and testing,Economic Modelling ,Price convergence; Law of one price; Unit root with breaks; Regional and global markets; Applied time series econometrics;,C22; C32; F15; N70,2021-10-15,https://econpapers.repec.org/article/eeeecmode/v_3a104_3ay_3a2021_3ai_3ac_3as0264999321002303.htm
"Debidutta Pattnaik, Satish Kumar, Bruce Burton and Weng Marc Lim",2022,Economic Modelling at thirty-five: A retrospective bibliometric survey,Economic Modelling ,Economic modelling; Bibliometrics; Machine learning; N-gram analysis; Co-occurrence analysis;,C00; E44; F31; N01; O1,2022-02-15,https://econpapers.repec.org/article/eeeecmode/v_3a107_3ay_3a2022_3ai_3ac_3as0264999321003011.htm
Shuddhasattwa Rafiq,2022,How did house and stock prices respond to different crisis episodes since the 1870s?,Economic Modelling ,Financial crisis; Disasters; Macro disasters; House prices; Stock prices;,C14; E44; G01; N10,2022-10-16,https://econpapers.repec.org/article/eeeecmode/v_3a114_3ay_3a2022_3ai_3ac_3as0264999322001596.htm
Jorge Campos-González and Kelvin Balcombe,2024,The race between education and technology in Chile and its impact on the skill premium,Economic Modelling ,Skill-biased technological change; Skill premium; Elasticity of substitution; Technology; Education; Skilled labor;,J23; J24; J31; N36; O15; O33,2024-02-01,https://econpapers.repec.org/article/eeeecmode/v_3a131_3ay_3a2024_3ai_3ac_3as0264999323004285.htm
"Nauro Campos, Fabrizio Coricelli and Luigi Moretti",2019,Institutional integration and economic growth in Europe,Journal of Monetary Economics ,Economic growth; Integration; Institutions; European union; Synthetic control method;,C33; F15; N14; N44; O52,2019-07-17,https://econpapers.repec.org/article/eeemoneco/v_3a103_3ay_3a2019_3ai_3ac_3ap_3a88-104.htm
Colin Jennings,2013,"Institutions and prosperity A review of Timothy Besley and Torsten Persson, Pillars of Prosperity: The Political Economics of Development Clusters, Princeton University Press, Princeton, 2011, pp. 375 and Daron Acemoglu and James A. Robinson, Why Nations Fail: The Origins of Power, Prosperity and Poverty, Profile Books, London 2012, pp. 529",European Journal of Political Economy ,Institutions; Prosperity,D7; N4; O1,2014-09-18,https://econpapers.repec.org/article/eeepoleco/v_3a29_3ay_3a2013_3ai_3ac_3ap_3a252-258.htm
Joerg Baten and Christina Mumme,2013,Does inequality lead to civil wars? A global long-term study using anthropometric indicators (1816–1999),European Journal of Political Economy ,Civil wars; Anthropometric welfare indices; Economic deprivation;,H56; N30; N40,2013-12-04,https://econpapers.repec.org/article/eeepoleco/v_3a32_3ay_3a2013_3ai_3ac_3ap_3a56-79.htm
Colin O'Reilly and Benjamin Powell,2015,War and the growth of government,European Journal of Political Economy ,War; Economic freedom; Size of government; Institutional change;,H11; H12; N40; P48,2015-12-15,https://econpapers.repec.org/article/eeepoleco/v_3a40_3ay_3a2015_3ai_3apa_3ap_3a31-41.htm
"Joerg Baten, Thomas Keywood and Georg Wamser",2021,Territorial state capacity and elite violence from the 6th to the 19th century,European Journal of Political Economy ,Elite human capital; Elite violence; Europe; Middle ages; Early modern period; State capacity;,N00; N13; N33,2021-12-14,https://econpapers.repec.org/article/eeepoleco/v_3a70_3ay_3a2021_3ai_3ac_3as0176268021000380.htm
Max Deter and Martin Lange,2023,Are the supporters of socialism the losers of capitalism? Conformism in East Germany and transition success,European Journal of Political Economy ,East Germany; State socialism; Transition; Labor market; Life satisfaction;,D31; H10; N44; P20,2023-03-08,https://econpapers.repec.org/article/eeepoleco/v_3a76_3ay_3a2023_3ai_3ac_3as0176268022000593.htm
Theocharis Grigoriadis and Dimitrios Moschos,2023,Farewell Anatolia: Refugees & the rise of the Greek Left,European Journal of Political Economy ,refugees; Left-wing vote; Development; Greece;,N44; N45; O52; O53; P16; P51,2023-05-07,https://econpapers.repec.org/article/eeepoleco/v_3a77_3ay_3a2023_3ai_3ac_3as0176268022000799.htm
"Luciano Mauro, Francesco Pigliaru and Gaetano Carmeci",2023,"Decentralization, social capital, and regional growth: The case of the Italian North-South divide",European Journal of Political Economy ,Social capital; Regional convergence; Economic growth; Decentralization;,N9; O4; R5,2023-07-07,https://econpapers.repec.org/article/eeepoleco/v_3a78_3ay_3a2023_3ai_3ac_3as0176268023000071.htm
"Avinash Ghalke, Rudra Sensarma, Sandip Chakraborty and Ram Kumar Kakani",2023,Stock markets and economic uncertainty: Roles of legislative sessions and coalition strength,European Journal of Political Economy ,Legislative sessions; Westminster parliament; Economic policy; Asset prices; Political risk; Coalition government;,H7; L1; L2; M2; N2; P16,2023-07-07,https://econpapers.repec.org/article/eeepoleco/v_3a78_3ay_3a2023_3ai_3ac_3as0176268022001562.htm
Andrei Markevich and Ekaterina Zhuravskaya,2011,M-form hierarchy with poorly-diversified divisions: A case of Khrushchev's reform in Soviet Russia,Journal of Public Economics ,M-form hierarchy; Yardstick competition; Soviet economy; Diversification;,D73; H7; J63; N44; P3,2012-09-24,https://econpapers.repec.org/article/eeepubeco/v_3a95_3ay_3a2011_3ai_3a11_3ap_3a1550-1560.htm
Sutirtha Bagchi and Libor Dusek,2021,The effects of introducing withholding and third-party reporting on tax collections: Evidence from the U.S. state personal income tax,Journal of Public Economics ,Tax evasion; Third-party reporting; Withholding; Tax base changes; Event study;,H11; H21; H26; H71; N42,2021-12-14,https://econpapers.repec.org/article/eeepubeco/v_3a204_3ay_3a2021_3ai_3ac_3as0047272721001730.htm
"Milena Nikolova, Olga Popova and Vladimir Otrachshenko",2022,Stalin and the origins of mistrust,Journal of Public Economics ,Social trust; Institutional trust; Social capital; Gulag; Forced labor; Economic history; Former Soviet Union;,D02; H10; N94; Z13,2022-04-13,https://econpapers.repec.org/article/eeepubeco/v_3a208_3ay_3a2022_3ai_3ac_3as0047272722000317.htm
Matteo Cervellati and Uwe Sunde,2011,Disease and development: The role of life expectancy reconsidered,Economics Letters ,Life expectancy; Demographic transition; Epidemiological revolution; Heterogeneous treatment effects; Finite mixture models;,E10; J10; J13; N30; O10; O40,2012-09-24,https://econpapers.repec.org/article/eeeecolet/v_3a113_3ay_3a2011_3ai_3a3_3ap_3a269-272.htm
