publication.year,source.title,eh,n_articles,ave_authors,sd_authors,tot_cite,ave_cite,sd_cite,M_cit,keywords,top1keyword,top2keyword,top3keyword,n_keywords,keyword_entropy,funders,top1funder,top2funder,top3funder,n_funding,n_econometric_margo,n_econometric_other,country,continent,new_keywords
2014,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,3,1.3333333333333333,0.5773502691896257,43,14.333333333333334,8.504900548115383,23,ECONOMIC-DEVELOPMENT; INCOME-DISTRIBUTION;  FACTOR PRICES;  ECONOMIES;  SPAIN;  LABOR; SPAIN,ECONOMIES,FACTOR PRICES,LABOR,7,-0,,None,None,None,0,0,1,Spain,Europe,1
2014,HISTORICAL METHODS,1,2,2.5,0.7071067811865476,10,5,4.242640687119285,8,ECONOMIC-GROWTH;  PORTUGAL,PORTUGAL,ECONOMIC-GROWTH,None,2,-0,,None,None,None,0,0,2,Spain,Europe,1
2014,JOURNAL OF INTERDISCIPLINARY HISTORY,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2015,CLIOMETRICA,1,3,2.3333333333333335,1.5275252316519465,22,7.333333333333333,4.041451884327381,12,RESEARCH-AND-DEVELOPMENT;  UNIT-ROOT TESTS;  INFORMATION-TECHNOLOGY;  ECONOMIC-INTEGRATION;  GROWTH;  TRADE;  INNOVATION; SOVEREIGN DEBT;  MORAL HAZARD;  REPUDIATION;  SPAIN;  CLAIM;  MODEL; INEQUALITY;  POVERTY;  HEIGHT;  HEALTH;  RIGHTS;  LAND,CLAIM,ECONOMIC-INTEGRATION,GROWTH,19,-0,,None,None,None,0,1,3,Spain,Europe,3
2015,ECONOMIC HISTORY REVIEW,1,1,3,NA,15,15,NA,15,SELF-SELECTION;  LABOR-MARKET;  MIGRATION;  MOBILITY;  ASSIMILATION;  SPAIN;  IMMIGRATION;  ANARCHISM;  ENDOGAMY;  EARNINGS,ANARCHISM,ASSIMILATION,EARNINGS,10,-0,,None,None,None,0,0,1,Spain,Europe,2
2015,ECONOMIC MODELLING,0,1,2,NA,3,3,NA,3,,None,None,None,0,-0,,None,None,None,0,0,1,Spain,Europe,0
2015,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,4,2.5,1,30,7.5,3.1091263510296048,12,INDUSTRIAL-LOCATION;  INCREASING RETURNS;  GEOGRAPHY;  PRODUCTIVITY;  CONVERGENCE;  INTEGRATION;  EVOLUTION;  TRADE;  WAGE; STATES;  INEQUALITY;  CONTRACT; FINANCIAL ACCELERATOR;  MID-19TH-CENTURY; MONEY GROWTH;  UNANTICIPATED MONEY;  GOVERNMENT DEFICITS;  EXCHANGE-RATES;  INFLATION;  SEIGNIORAGE,CONTRACT,CONVERGENCE,EVOLUTION,20,-0,,None,None,None,0,0,2,Spain,Europe,4
2015,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2015,SOCIAL SCIENCE HISTORY,1,2,1,0,6,3,2.8284271247461903,5,STRIKES;  LABOR;  INSURGENCY;  GEOGRAPHY;  VIOLENCE;  POVERTY;  REVOLT;  FORMS; PROPERTY-RIGHTS;  ENGLISH;  19TH-CENTURY;  ENCLOSURES;  INEQUALITY;  REVOLUTION;  EFFICIENCY;  EMERGENCE;  PATTERNS;  POVERTY,POVERTY,19TH-CENTURY,EFFICIENCY,18,-0,,None,None,None,0,0,2,Spain,Europe,3
2016,CLIOMETRICA,1,2,1.5,0.7071067811865476,19,9.5,0.7071067811865476,10,DECLINE,DECLINE,None,None,1,-0,,None,None,None,0,0,2,Spain,Europe,0
2016,ECONOMIC HISTORY REVIEW,1,5,1.8,0.44721359549995793,36,7.2,9.934787365615835,22,PHILIP-II;  DEBT;  SPAIN; DEFAULTS;  SPAIN;  AGE; DEMAND;  LABOR; TEXTILE-INDUSTRY;  COTTON TEXTILES;  LANCASHIRE;  SPAIN;  GEOGRAPHY;  QUALITY;  MARKETS;  GRAVITY;  PRODUCT;  GROWTH,SPAIN,AGE,COTTON TEXTILES,18,-0,,None,None,None,0,0,4,Spain,Europe,2
2016,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,3,1.6666666666666667,1.1547005383792517,65,21.666666666666668,9.073771725877467,32,PRODUCTIVITY;  ANDALUSIA;  DECLINE;  CLIMATE;  SPAIN; ECONOMIC-GEOGRAPHY;  GROWTH;  SPAIN;  LOCATION;  INDUSTRY; INCOME ELASTICITY;  REAL INEQUALITY;  HOUSING DEMAND;  SOCIAL TABLES;  EUROPE;  SPAIN;  WAGES;  AGES,SPAIN,AGES,ANDALUSIA,18,-0,,None,None,None,0,0,2,Spain,Europe,4
2016,EXPLORATIONS IN ECONOMIC HISTORY,1,1,2,NA,43,43,NA,43,WESTERN-EUROPE;  KUZNETS CURVE;  LONG-RUN;  RISE;  FAMILY;  INCOME;  SPAIN,FAMILY,INCOME,KUZNETS CURVE,7,-0,,None,None,None,0,0,1,Spain,Europe,1
2016,JOURNAL OF INTERDISCIPLINARY HISTORY,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2016,REVIEW OF ECONOMICS AND STATISTICS,0,1,2,NA,28,28,NA,28,LIQUIDITY SHOCKS EVIDENCE;  CASH FLOW;  DEBT,CASH FLOW,DEBT,LIQUIDITY SHOCKS EVIDENCE,3,-0,,None,None,None,0,0,1,Spain,Europe,2
2017,CLIOMETRICA,1,3,1.6666666666666667,1.1547005383792517,60,20,7,25,EARLY-MODERN PERIOD;  KUZNETS CURVE;  REAL INEQUALITY;  POVERTY;  PARIS;  SPAIN; INCOME INEQUALITY;  REAL INEQUALITY;  WEALTH;  SPAIN;  TRENDS;  EUROPE; ECONOMIC-INTEGRATION;  INDUSTRIAL-LOCATION;  REGIONAL WAGE;  DETERMINANTS;  GEOGRAPHY;  EVOLUTION;  PRODUCTIVITY;  CITIES;  TRADE;  COSTS,REAL INEQUALITY,SPAIN,CITIES,22,-0,,None,None,None,0,0,2,Spain,Europe,1
2017,ECONOMIC HISTORY REVIEW,1,5,2,0.7071067811865476,46,9.2,8.28854631404084,18,AGRARIAN CONTRACTS;  CATALONIA SPAIN;  AGRICULTURE;  COMPETITION;  TUSCANY;  EUROPE;  CHOICE;  LAND; LONG-RUN;  INDUSTRIAL-REVOLUTION;  MARKETS;  PRICES;  GROWTH;  PATTERNS;  INCOME;  EVOLUTION;  TRANSPORT;  DYNAMICS; MIGRATION;  EMIGRATION;  EUROPE;  AGE; AGRICULTURAL COOPERATIVES;  CHOICE,CHOICE,EUROPE,AGE,24,-0,,None,None,None,0,0,2,Spain,Europe,4
2017,EXPLORATIONS IN ECONOMIC HISTORY,1,2,2,0,30,15,9.899494936611665,22,EXCESS FEMALE MORTALITY;  ECONOMIC-DEVELOPMENT;  SEX-RATIO;  WOMEN;  ENGLAND;  INDIA;  EDUCATION;  EQUALITY;  HEALTH;  WALES; RURAL REVOLT;  POLARIZATION;  CONFLICT;  POLITICS,CONFLICT,ECONOMIC-DEVELOPMENT,EDUCATION,14,-0,,None,None,None,0,0,1,Spain,Europe,3
2017,JOURNAL OF INTERDISCIPLINARY HISTORY,1,3,1,0,2,0.6666666666666667,1.1547005383792517,2,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2017,SOCIAL SCIENCE HISTORY,1,1,1,NA,0,0,NA,0,PUBLIC SPHERE;  RETHINKING,RETHINKING,PUBLIC SPHERE,None,2,-0,,None,None,None,0,0,1,Spain,Europe,0
2018,CLIOMETRICA,1,3,2.3333333333333335,0.5773502691896258,22,7.333333333333333,2.0816659994661326,9,UNITED-STATES;  OCCUPATIONAL CHOICE;  LABOR-MARKET;  NETWORKS;  MIGRATION;  INCOME;  MIGRANTS;  OUTCOMES;  SKILL;  WAGES; OIL-PRICE SHOCK;  UNIT-ROOT TESTS;  TIME-SERIES;  GREAT CRASH;  PANEL-DATA;  COINTEGRATION;  BUDGET;  RESTRICTIONS;  VECTORS;  MODELS; PHYSICAL STATURE;  EARLY-20TH-CENTURY MANILA;  HEIGHT SAMPLES;  COLONIAL RULE;  EDUCATION;  GROWTH;  TRANSFORMATION;  DIFFERENTIALS;  PERSPECTIVE;  POPULATION,BUDGET,COINTEGRATION,COLONIAL RULE,30,-0,,None,None,None,0,1,2,Spain,Europe,5
2018,ECONOMIC HISTORY REVIEW,1,6,1.5,0.5477225575051661,29,4.833333333333334,7.600438583836243,20,SPAIN;  CORTEZ; PROPERTY-RIGHTS;  SPAIN; LONG-TERM TRENDS;  18TH-CENTURY;  SPAIN; ORGANIZATIONAL FORM;  CORPORATE DEMAND;  RISK-MANAGEMENT;  REINSURANCE;  MARKET;  SPAIN;  STRATEGIES;  COMPANIES;  SWEDEN,SPAIN,18TH-CENTURY,COMPANIES,16,-0,,None,None,None,0,0,2,Spain,Europe,5
2018,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,3,1.6666666666666667,0.5773502691896257,10,3.3333333333333335,2.081665999466133,5,LAW;  ENTERPRISE; ECONOMIC-GROWTH;  SPANISH-AMERICA;  MODERN WORLD;  INSTITUTIONS;  19TH-CENTURY;  INDEPENDENCE;  PERFORMANCE;  AFRICA;  MARKET; LONG-RUN BEHAVIOR;  VELOCITY,19TH-CENTURY,AFRICA,ENTERPRISE,13,-0,,None,None,None,0,0,1,Spain,Europe,4
2018,EXPLORATIONS IN ECONOMIC HISTORY,1,2,2,0,58,29,15.556349186104045,40,INSTITUTIONS;  LITERACY;  LANDOWNERSHIP;  CONSEQUENCES;  EMERGENCE;  DEMOCRACY;  HISTORY;  GROWTH;  STATES;  RISE; TECHNOLOGICAL DIFFUSION;  WESTERN-EUROPE;  INEQUALITY;  SPAIN;  EDUCATION;  LITERACY;  SKILLS;  PARTICIPATION;  19TH-CENTURY;  FERTILITY,LITERACY,19TH-CENTURY,CONSEQUENCES,20,-0,,None,None,None,0,1,2,Spain,Europe,2
2018,JOURNAL OF INTERDISCIPLINARY HISTORY,1,4,2.25,1.5,18,4.5,5.802298395176403,13,INCOME INEQUALITY;  ECONOMIC-GROWTH;  LONG-RUN;  MOBILITY;  SPAIN;  STATE;  INSTITUTIONS;  MORTALITY;  CLIMATE;  EUROPE; INDUSTRIALIZATION;  INTEGRATION;  SPAIN,SPAIN,CLIMATE,ECONOMIC-GROWTH,13,-0,,None,None,None,0,0,1,Spain,Europe,0
2018,SOCIAL SCIENCE HISTORY,1,1,4,NA,5,5,NA,5,ANTHROPOMETRIC HISTORY;  HEIGHT;  NUTRITION;  SPAIN;  POPULATION;  INEQUALITY;  EVOLUTION;  AMERICAN;  CALORIES;  DIARRHEA,AMERICAN,CALORIES,DIARRHEA,10,-0,,None,None,None,0,0,1,Spain,Europe,2
2019,CLIOMETRICA,1,2,2.5,2.1213203435596424,20,10,5.656854249492381,14,REAL WAGES;  GREAT DIVERGENCE;  ECONOMIC-GROWTH;  SPANISH-AMERICA;  PRICES;  MONTREAL;  QUEBEC;  PRODUCTIVITY;  INSTITUTIONS;  HISTORY; GREAT DIVERGENCE;  WAGES;  CITIES;  EUROPE;  INCOME;  ASIA,ASIA,CITIES,ECONOMIC-GROWTH,16,-0,,None,None,None,0,0,2,Spain,Europe,0
2019,ECONOMIC HISTORY REVIEW,1,6,1.6666666666666667,0.816496580927726,72,12,8.438009243891594,28,VOLUNTARY HOSPITALS;  SICKNESS INSURANCE;  MEDICAL INSURANCE;  SPAIN;  HEALTH;  STATE;  REGIME;  RISE; NUTRITIONAL TRANSITION;  FOOD-CONSUMPTION;  MILK;  INEQUALITY;  PRODUCTS;  CONSUMERS;  PATTERNS;  QUALITY;  SYSTEM; INTERNAL MIGRATIONS;  SPAIN;  MARKETS;  GROWTH;  AGRICULTURE; PRODUCTIVITY;  SHIPS;  DUTCH;  AGE; LABOR-FORCE PARTICIPATION;  ECONOMY;  RATES,SPAIN,AGE,AGRICULTURE,29,-0,,None,None,None,0,0,3,Spain,Europe,7
2019,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,2,2,0,11,5.5,0.7071067811865476,6,PREINDUSTRIAL ECONOMY;  INCOME INEQUALITY;  WESTERN-EUROPE;  KUZNETS CURVE;  GROWTH;  SPAIN;  CATALONIA;  DECLINE; CREDIT BOOMS;  SPAIN;  DEBT;  TRANSMISSION;  BANKING,SPAIN,BANKING,CATALONIA,13,-0,,None,None,None,0,0,2,Spain,Europe,1
2019,EXPLORATIONS IN ECONOMIC HISTORY,1,1,4,NA,7,7,NA,7,ECONOMIC-INEQUALITY;  EUROPE;  TRENDS,EUROPE,TRENDS,ECONOMIC-INEQUALITY,3,-0,,None,None,None,0,0,0,Spain,Europe,1
2019,HISTORICAL METHODS,1,2,2.5,2.1213203435596424,7,3.5,4.949747468305833,7,PROPERTY-RIGHTS;  GIS;  MODELS;  CITIES,CITIES,GIS,MODELS,4,-0,,None,None,None,0,0,0,Spain,Europe,0
2019,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,3,NA,6,6,NA,6,CLIMATE-CHANGE;  VARIABILITY;  DYNAMICS;  INSIGHTS,DYNAMICS,INSIGHTS,VARIABILITY,4,-0,,None,None,None,0,0,1,Spain,Europe,1
2019,SOCIAL SCIENCE HISTORY,1,3,1,0,18,6,5.291502622129181,12,SOCIAL-REFORM; FRENCH-REVOLUTION; LABOR-FORCE PARTICIPATION;  REAL WAGES;  GREAT DIVERGENCE;  LIVING-STANDARDS;  ENGLAND;  EUROPE;  PERSPECTIVE;  DECLINE;  RATES;  AGRICULTURE,AGRICULTURE,DECLINE,ENGLAND,12,-0,,None,None,None,0,0,0,Spain,Europe,2
2020,ECONOMIC HISTORY REVIEW,1,5,1.6,0.5477225575051661,48,9.6,8.44393273303382,24,EASTERN-EUROPEAN ECONOMIES;  INEQUALITY;  MARKET;  POLICY;  INDUSTRIALIZATION;  PERFORMANCE;  KNOWLEDGE;  COUNTRIES;  EMPIRE;  SPAIN; CONSUMPTION;  MILK;  TRANSFORMATION;  HUNGER;  EVOLUTION;  CALORIES;  PATTERNS;  HEALTH;  DIETS;  CITY; EXCESS FEMALE MORTALITY;  GENDER BIAS;  SON PREFERENCE;  SEX-RATIOS;  WOMEN;  ENGLAND;  INDIA;  CHINA;  SOUTH;  FAMINE; ECONOMIC-GROWTH;  STRUCTURAL-CHANGE;  POPULATION;  STAGNATION; MILITARY RELATIONS;  OFFICERS;  SPAIN,SPAIN,CALORIES,CHINA,37,-0,,None,None,None,0,0,3,Spain,Europe,5
2020,ECONOMIC MODELLING,0,1,3,NA,69,69,NA,69,ENERGY DEMAND;  CHANGE ADAPTATION;  CONSUMPTION;  IMPACTS;  PRICE;  ENDOGENEITY;  SENSITIVITY;  MORTALITY;  CHOICE;  INCOME,CHANGE ADAPTATION,CHOICE,CONSUMPTION,10,-0,,None,None,None,0,0,1,Spain,Europe,2
2020,EUROPEAN JOURNAL OF POLITICAL ECONOMY,0,1,1,NA,1,1,NA,1,PORK-BARREL POLITICS;  ECONOMIC INTERESTS;  PROPORTIONAL REPRESENTATION;  POLICY;  PROTECTION;  TARIFF;  DETERMINANTS;  IDEOLOGY;  CONSTITUENCY;  AGRICULTURE,AGRICULTURE,CONSTITUENCY,DETERMINANTS,10,-0,,None,None,None,0,1,1,Spain,Europe,3
2020,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,2,1,0,13,6.5,3.5355339059327378,9,PAYMENTS;  BALANCE; FINANCIAL CRISES;  EXCHANGE-RATE;  TRANSMISSION;  BANKING;  EUROPE,BALANCE,BANKING,EUROPE,7,-0,,None,None,None,0,0,2,Spain,Europe,1
2020,JOURNAL OF DEVELOPMENT ECONOMICS,0,1,1,NA,11,11,NA,11,SPANISH RECONQUEST;  TRADE;  PERSISTENCE;  RISE,PERSISTENCE,RISE,TRADE,4,-0,,None,None,None,0,0,0,Spain,Europe,1
2020,SOCIAL SCIENCE HISTORY,1,1,2,NA,7,7,NA,7,INTERNAL MIGRATIONS;  INCOME INEQUALITY;  COMMON RIGHTS;  TOP INCOMES;  LONG-RUN;  WORLD;  PRODUCTIVITY;  INDUSTRIALIZATION;  GLOBALIZATION;  CONVERGENCE,COMMON RIGHTS,CONVERGENCE,GLOBALIZATION,10,-0,,None,None,None,0,0,0,Spain,Europe,1
2021,CLIOMETRICA,1,5,3,2,12,4,1.7320508075688772,6,MARKET ACCESS;  INCREASING RETURNS;  AGGLOMERATION ECONOMIES;  REGIONAL WAGE;  TRADE-POLICY;  LOCATION;  SPAIN;  INDUSTRY;  REMOTENESS;  INEQUALITY; LATE-19TH-CENTURY;  EMIGRATION; PROPERTY-RIGHTS;  CONTRACT;  IRELAND;  EUROPE;  CHOICE;  STATE,AGGLOMERATION ECONOMIES,CHOICE,CONTRACT,18,-0,,None,None,None,0,0,1,Spain,Europe,1
2021,ECONOMIC HISTORY REVIEW,1,4,2.25,0.5,0,NA,NA,-Inf,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2021,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,3,1.6666666666666667,0.5773502691896257,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2021,EXPLORATIONS IN ECONOMIC HISTORY,1,1,3,NA,5,5,NA,5,PRICE REVOLUTION;  MONETARY;  ENGLAND;  SPAIN;  CIRCULATION;  SEIGNIORAGE;  POPULATION;  VELOCITY;  WAGES,CIRCULATION,ENGLAND,MONETARY,9,-0,,None,None,None,0,0,1,Spain,Europe,0
2021,JOURNAL OF INTERDISCIPLINARY HISTORY,1,5,1.2,0.44721359549995804,1,0.25,0.5,1,DEMOGRAPHY;  MORTALITY;  HOLOCAUST;  CONFLICT;  VIOLENCE,CONFLICT,HOLOCAUST,MORTALITY,5,-0,,None,None,None,0,0,0,Spain,Europe,0
2021,SOCIAL SCIENCE HISTORY,1,3,2,1,0,NA,NA,-Inf,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2022,CLIOMETRICA,1,3,1.6666666666666667,1.1547005383792517,0,NA,NA,-Inf,,None,None,None,0,-0,,None,None,None,0,0,0,Spain,Europe,0
2022,ECONOMIC HISTORY REVIEW,1,5,2,1,12,2.4,2.302172886644268,5,SPANISH INFLUENZA;  HEALTH;  CONSEQUENCES;  TRANSMISSIBILITY;  EPIDEMIC;  DISEASE;  IMPACT; ECONOMIC-INEQUALITY;  LAY SUBSIDIES;  SOCIAL TABLES;  GEOGRAPHICAL-DISTRIBUTION;  INCOME INEQUALITY;  CASTILE SPAIN;  LOW-COUNTRIES;  BLACK-DEATH;  POPULATION;  EUROPE; HUMAN-CAPITAL ACCUMULATION;  IN-UTERO;  NATURAL DISASTERS;  FETAL ORIGINS;  SAO-PAULO;  INFLUENZA;  CHILDHOOD;  MORTALITY;  EPIDEMIC;  EXPOSURE; POLITICAL-ECONOMY;  MARKET;  REGULATIONS;  EUROPE,EPIDEMIC,EUROPE,BLACK-DEATH,31,-0,,None,None,None,0,0,4,Spain,Europe,4
2022,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,4,2,0.816496580927726,23,5.75,5.251983752196243,13,STATE CAPACITY;  WELFARE-STATE;  OPENNESS;  LABOR;  SIZE;  PROTECTION;  DEMOCRACY;  GROWTH;  AGE; LIFE EXPECTANCY;  SPANISH FLU;  MORTALITY;  PLAGUE;  CONSEQUENCES;  INACTIVATION;  EPIDEMIC;  EUROPE;  SHOCKS;  HEALTH; STOCK-MARKET VOLATILITY;  FINANCIAL CRISES;  LIQUIDITY;  GROWTH;  EUROPE;  SPAIN; MISSING GIRLS;  ROUTINE INFANTICIDE;  WESTERN-EUROPE;  PREFERENCE;  BIRTH;  RATIO;  POPULATION;  PERSISTENT;  TRANSITION;  MORTALITY,EUROPE,GROWTH,MORTALITY,35,-0,,None,None,None,0,0,2,Spain,Europe,6
2022,JOURNAL OF ECONOMIC LITERATURE,0,2,2,1.4142135623730951,25,12.5,17.67766952966369,25,UNITED-STATES;  ENCEPHALITIS LETHARGICA;  SPANISH INFLUENZA;  AIR-POLLUTION;  MORTALITY;  HEALTH;  EPIDEMIC;  EXPOSURE;  DECLINE;  OUTCOMES; ECONOMICS;  INSTITUTIONS;  CHURCH;  USURY;  STATE;  ROMAN,AIR-POLLUTION,CHURCH,DECLINE,16,-0,,None,None,None,0,0,1,Spain,Europe,2
2022,JOURNAL OF INTERDISCIPLINARY HISTORY,1,3,1.6666666666666667,0.5773502691896257,1,0.33333333333333337,0.5773502691896258,1,GROWTH;  MIGRATION;  DEPOPULATION;  HIGHWAYS;  PATTERNS;  AREAS; HEIGHT;  MILITARY;  INCOME,AREAS,DEPOPULATION,HIGHWAYS,9,-0,,None,None,None,0,1,2,Spain,Europe,2
2022,SOCIAL SCIENCE HISTORY,1,1,3,NA,0,0,NA,0,HEIGHT;  INEQUALITY;  SHRINKING;  STATURE,INEQUALITY,SHRINKING,STATURE,4,-0,,None,None,None,0,0,1,Spain,Europe,0
2023,CLIOMETRICA,1,6,1.6666666666666667,0.5163977794943223,6,1,1.2649110640673518,3,ECONOMIC-GROWTH;  SPAIN;  INVESTMENT;  PRICES;  17TH; REAL WAGES;  GREAT DIVERGENCE;  POVERTY;  WORKERS; ECONOMIC-GROWTH;  GREAT-DEPRESSION;  BUSINESS CYCLES;  HEALTH-CARE;  MORTALITY;  POPULATION;  PLAGUE;  INFERENCE;  EPIDEMIC;  HISTORY; GENDER BIAS;  SEX-RATIO;  SON PREFERENCE;  GIRLS;  WOMEN;  INDIA;  CHINA;  SOUTH;  MORTALITY;  COUNTRY; ECONOMIC-DEVELOPMENT EVIDENCE;  CHILD LABOR;  BIRTH-ORDER;  SCHOOL ATTENDANCE;  SPAIN;  GROWTH;  INEQUALITY;  INNOVATION;  FERTILITY;  MIGRATION; HUMAN-CAPITAL FORMATION;  ECONOMIC-GROWTH;  COGNITIVE SKILLS;  RISE;  ENTRY;  COMPETITION;  INEQUALITY;  AGE,INEQUALITY,MORTALITY,SPAIN,47,-0,Spanish Ministry of Science and Innovation [PID2021-1280100B-I00]; Pontificia Universidad Catlica del Per,Pontificia Universidad Catlica del Per,Spanish Ministry of Science and Innovation [PID2021-1280100B-I00],None,2,0,5,Spain,Europe,2
2023,ECONOMIC HISTORY REVIEW,1,4,1.5,1,0,0,0,0,TRADE COSTS;  GRAVITY;  AGREEMENTS;  DIFFUSION;  GROWTH; MONETARY-POLICY;  RULES;  DISCRETION;  DEMAND;  MODEL,AGREEMENTS,DEMAND,DIFFUSION,10,-0,"Secretaria de Estado de Investigacion, Desarrollo e Innovacion [FPI-2016 BES-2016-07746];  FPI-2016 BES-2016-07746 [PGC2018-093896-B-I00]",FPI-2016 BES-2016-07746 [PGC2018-093896-B-I00],"Secretaria de Estado de Investigacion, Desarrollo e Innovacion [FPI-2016 BES-2016-07746]",None,2,0,2,Spain,Europe,1
2023,ECONOMICS LETTERS,0,1,3,NA,0,0,NA,0,NONLINEAR MONETARY DYNAMICS;  LYAPUNOV EXPONENTS;  VELOCITY;  TESTS,LYAPUNOV EXPONENTS,TESTS,VELOCITY,4,-0,,None,None,None,0,0,0,Spain,Europe,2
2023,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,3,2.3333333333333335,2.3094010767585034,0,0,0,0,ECONOMIC-DEVELOPMENT;  STATE CAPACITY;  INEQUALITY;  LANGUAGE;  LANDOWNERSHIP;  EDUCATION;  HISTORY;  SPAIN;  RISE; PUBLIC DEBT;  DEFICIT SUSTAINABILITY;  GOVERNMENT DEFICITS;  FEDERAL-BUDGET;  SPAIN;  POLICY;  MONETARY;  COINTEGRATION;  CONSTRAINTS; INDUSTRIAL-LOCATION;  ECONOMIC-GROWTH;  RAILROADS;  EVOLUTION;  NETWORK,SPAIN,COINTEGRATION,CONSTRAINTS,23,-0,,None,None,None,0,0,1,Spain,Europe,2
2023,EXPLORATIONS IN ECONOMIC HISTORY,1,4,2.75,1.2583057392117916,0,0,0,0,PHILIP-II;  JUROS; POPULATION-GROWTH;  ECONOMIC-GROWTH;  RAILROADS;  MARKETS;  INFRASTRUCTURE;  INTEGRATION;  HIGHWAYS;  EUROPE;  SPAIN; INFLUENZA;  MORTALITY; POLITICAL-ECONOMY;  MARKETS;  ROOTS,MARKETS,ECONOMIC-GROWTH,EUROPE,16,-0,,None,None,None,0,1,3,Spain,Europe,1
2023,HISTORICAL METHODS,1,1,1,NA,0,0,NA,0,INFANT-MORTALITY;  CHILDHOOD MORTALITY;  LONGITUDINAL DATA;  MISSING GIRLS;  1ST MARRIAGE;  DETERMINANTS;  HEIGHT;  PARENT;  INEQUALITY;  TRANSITION,1ST MARRIAGE,CHILDHOOD MORTALITY,DETERMINANTS,10,-0,"Spanish Ministry of Science and Innovation [PID2022-138886NB-I00, PGC2018-095529-B-I00];  Government of Aragon [S55_23R]",Government of Aragon [S55_23R],"Spanish Ministry of Science and Innovation [PID2022-138886NB-I00, PGC2018-095529-B-I00]",None,2,0,0,Spain,Europe,2
2023,JOURNAL OF INTERDISCIPLINARY HISTORY,1,5,1.4,0.5477225575051661,0,0,0,0,CREDIT; FORCE PARTICIPATION;  19TH-CENTURY,19TH-CENTURY,FORCE PARTICIPATION,CREDIT,3,-0,,None,None,None,0,0,2,Spain,Europe,0
2023,SOCIAL SCIENCE HISTORY,1,2,3,0,1,0.5,0.7071067811865476,1,UNITED-STATES;  SPAIN;  LIFE;  MIGRATION;  SURVIVAL;  NATIVES;  HEALTH;  INTERMARRIAGE;  MIGRANTS;  ANTWERP; STATE;  REVOLUTION,ANTWERP,HEALTH,INTERMARRIAGE,12,-0,,None,None,None,0,0,1,Spain,Europe,1
2024,ECONOMIC HISTORY REVIEW,1,3,1.3333333333333333,0.5773502691896257,1,0.33333333333333337,0.5773502691896258,1,SELF-SELECTION;  INEQUALITY;  MIGRATION;  17TH;  AGE;  SPAIN; BRITISH-TRADE;  PROFITS; UNIT-ROOT TESTS;  FINANCIAL-MARKETS;  PHILIP-II;  OFFICES;  CREDIT;  SPAIN;  POWER;  COINTEGRATION;  SEIGNIORAGE;  INFORMATION,SPAIN,17TH,AGE,18,-0,,None,None,None,0,0,2,Spain,Europe,2
2024,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,2,1,0,0,0,0,0,COAL;  INEQUALITY;  GEOGRAPHY;  LOCATION;  COTTON; ECONOMIC-GROWTH;  SCHOOL;  EVOLUTION,COTTON,EVOLUTION,GEOGRAPHY,8,-0,Norwegian Research Council;  Ministry of Science [PID2022-138886NB-I00];  Regional Government of Aragon [S55_23R],Ministry of Science [PID2022-138886NB-I00],Regional Government of Aragon [S55_23R],Norwegian Research Council,3,0,1,Spain,Europe,0
2024,EXPLORATIONS IN ECONOMIC HISTORY,1,1,2,NA,0,0,NA,0,SLAVE-TRADE;  POLITICAL-ECONOMY;  INSTITUTIONS;  EMPIRE;  DEPOPULATION;  ENCOMIENDA;  ORIGINS;  HISTORY;  LEGACY;  CUBA,CUBA,DEPOPULATION,EMPIRE,10,-0,,None,None,None,0,0,0,Spain,Europe,2
2024,JOURNAL OF DEVELOPMENT ECONOMICS,0,1,3,NA,0,0,NA,0,CORRUPTION;  SEEKING;  GROWTH;  ORGANIZATION;  INCENTIVES;  ECONOMICS;  COSTS;  AGE,AGE,COSTS,ECONOMICS,8,-0,,None,None,None,0,0,1,Spain,Europe,1
2024,SOCIAL SCIENCE HISTORY,1,2,2,1.4142135623730951,0,0,0,0,DEMOCRACY; RADICAL RIGHT;  PERFORMANCE;  AGE,AGE,PERFORMANCE,RADICAL RIGHT,4,-0,Spanish Ministry of Science and Innovation [PGC2018-098207-B-I00],Spanish Ministry of Science and Innovation [PGC2018-098207-B-I00],None,None,1,0,0,Spain,Europe,0
